UserName,Handle,Timestamp,Comments,Rate,Likes,Retweets
Sean Z,@Sean_Z_,2022-05-10T23:43:48.000Z,"New Yorkers depend on the little money they have left over after paying rent,bills,and tax. Then that tax money is used against the tax payer to fund cameras that will ticket and cost us more money that we don’t have. All under the lie of safety.This is an awful idea.Don’t do it",,,,
miles,@wrongmiles,2022-05-10T23:43:48.000Z,,,1,1,4
Dr. Umstick,@Drumstick,2022-05-10T23:43:48.000Z,"mikmak.com
Another Day, Another Drumstick",,6,7,28
bbkr82,@bbkr82,2022-05-10T23:43:48.000Z,"nyc.streetsblog.org
Truck Driver Gets a Few Summonses for Killing Borough Park Cyclist as MTA Workers Continue Danger...
Meanwhile, one local Assembly member blamed cyclists.",,,,
dannyboy1974,@dannyboy19743,2022-05-10T23:43:48.000Z,"Reducing lanes from 3 to 2 in upper Manhattan on Broadway  is perfect example - no bike lanes added , just reduced lanes and now trucks block 1 for deliveries and you have 1 lane that flows at a crawl - pushing drivers onto residential streets",,,,
John Pate,@JohnPat76844696,2022-05-10T23:43:48.000Z,Hey Handy Manny speak cameras do not save lives speed bumps slow down cars especially people from out of town have no idea they're flying past a speed camera.,,,,
Adam Fisher-Cox,@adamfc,2022-05-10T23:43:48.000Z,psst hey do you want to know a secret way to make sure the city doesn’t get any money from you with these speed cameras?,,,,1
Adam Fisher-Cox,@adamfc,2022-05-10T23:43:48.000Z,Cameras cannot replace police in that they can’t replicate the lack of effectiveness and ability to look the other way. In terms of actually fining dangerous drivers though? They’re way better.,,,,2
H&M USA,@hmusa,2022-05-10T23:43:48.000Z,"hm.com
Watch More",,6,10,74
KD,@Fly_Sistah,2022-05-10T21:27:06.000Z,"De Blasio raised the same concerns about #OpenstreetsNYC that residents are raising now. ""We do not create a situation where we need to use enforcement personnel we still don't have enough of, drawing them off of other things that are crucial.""",,1,2,7
KD,@Fly_Sistah,2022-05-10T21:27:06.000Z,"De Blasio laid out his major concerns with #openstreetsNYC ""That we do not create a situation where people think they can walk in the middle of the street ... We do not create a situation where emergency vehicles and crucial deliveries cant get through.""",,1,2,7
KD,@Fly_Sistah,2022-05-10T21:27:06.000Z,"I'm not shocked the ""open"" street is empty. The #openstreetsNYC pilot program ended in 2 weeks. De Blasio said there weren't enough NYPD to enforce it & people didn’t use the closed streets.
https://ny.curbed.com/2020/4/6/21209462/nyc-car-free-streets-coronavirus-bill-de-blasio…
@bkcb02
 @NYC_DOT
 @CMCrystalHudson
@NYCMayorsOffice
 @NYPD
 @FDNY",,2,3,7
Sunny Ng,@_blahblahblah,2022-05-10T21:27:06.000Z,"I came across the closure near 120th St and while they have signs indicating that across the FDR, it was still annoying that there are no signs showing where the detour is. They really need to treat bike path detours the same way they treat road detours.",,,,1
Chesa boudin burner account,@cydKO,2022-05-10T21:27:06.000Z,"Protected bike lanes?
No, more trucks!",,,,1
Samir,@lavingiasa,2022-05-10T21:27:06.000Z,"These are all well and good, but when people are on a bike in real life, they won't have checked this website. 

Having signs in real life before people go down the hills would be super helpful! Just something as simple as ""Path going south CLOSED. Turn around.""",,,,2
NYS Senator Brian Kavanagh 卡范納,@BrianKavanaghNY,2022-05-10T21:27:06.000Z,,,,,2
John A Scott,@JohnASc62898357,2022-05-10T21:27:06.000Z,Big Brother for real 1984!,,,,
Carl Jordan Mahaney,@measuredworks,2022-05-10T21:27:06.000Z,,,,,1
H&M USA,@hmusa,2022-05-10T21:27:06.000Z,"hm.com
Watch More",,6,10,74
Alexis Lambert,@Bickfoa,2022-05-10T21:27:06.000Z,More cameras are great as long as the repeat offenders are removed from our streets.,,,,3
gregory,@popLOCKEdropit,2022-05-10T21:27:06.000Z,,,1,,32
Streetsblog New York,@StreetsblogNYC,2022-05-10T21:27:06.000Z,"nyc.streetsblog.org
Yet Another Report Makes Clear Case for City Control of Speed Cameras
Almost 60 percent of road fatalities in the five boroughs occur in the hours when the cameras are, by current law, unable to issue tickets.",,,4,8
Second Ave. Sagas,@2AvSagas,2022-05-10T20:46:04.000Z,"@cory_ep
, your thoughts?",,,,1
Michael Powell,@powellnyt,2022-05-10T20:46:04.000Z,"Referencing fairly long NY 1 interview with 
@TransAlt
 last night . Spokesman complimentary of DOT moves so far, tho in guarded fashion",,2,,1
Frank,@Fbertz88,2022-05-10T20:46:04.000Z,Waiting on Newhouse. 4:40pm  building is at capacity,,,,
SPORTS_r_DUMB,@PicoDe_Gallo,2022-05-10T20:46:04.000Z,1,,1,,
Kristina G.,@Tina11_5,2022-05-10T20:46:04.000Z,On Staten Island side they are saying mechanical issue on manhattan side,,1,,
Frank,@Fbertz88,2022-05-10T20:46:04.000Z,,,,,
Charles Komanoff,@Komanoff,2022-05-10T20:46:04.000Z,"Not sure what you're referencing, but 
@NYC_DOT
's powers are limited by 
@nypdnews
' multi-yr abdication of enforcement, Albany's stranglehold on automated enforcement & joint 
@nysdmv
 / NYPD wink-wink on lic plate defacement & counterfeiture. Not to mention #congestionpricing stall.",,1,1,2
NYC DOT,@NYC_DOT,2022-05-10T20:46:04.000Z,For information about closures related to the East Side Coastal Resiliency Project visit: https://www1.nyc.gov/site/escr/project-updates/pa1-notices.page…,,1,,
H&M USA,@hmusa,2022-05-10T20:46:04.000Z,"0:08
hm.com
Watch More",,6,10,74
Frank,@Fbertz88,2022-05-10T20:46:04.000Z,,,2,2,1
Corey,@war_on_cars,2022-05-10T20:46:04.000Z,Yes,,,,
NYC DOT,@NYC_DOT,2022-05-10T20:46:04.000Z,"Crews have been notified. Please always call 911 to report immediate danger or call 
@nyc311
 for 24/7 service requests.",,,,
Pedro 我是纽约人,@_pjrt,2022-05-10T20:46:04.000Z,"Pedro 我是纽约人
@_pjrt
 · 21h
Almost got hit in Yellowstone and Queens Blvd (south side). This older lady decided that the best spot for her to stop was on the crosswalk itself. Had I not waited for her to fully stop (I had the light) she would have run me over. Made eye contact, no remorse from on her face.
Show this thread",,,,1
Alex Sramek,@MostlyDiff,2022-05-10T20:46:04.000Z,Yup. Seems the NYPD doesn't care? Do we need a different agency to take up traffic enforcement?,,1,,1
Upwork,@Upwork,2022-05-10T20:46:04.000Z,"upwork.com
What makes them a great mom also makes them a great hire.",,4,12,55
Vogue Magazine,@voguemagazine,2022-05-10T19:16:12.000Z,"smartwater
0:06
Video will play after ad
6",,90,173,"2,064"
Miriam riviera,@miriam_riviera,2022-05-10T19:16:12.000Z,"Cameras cannot replace police, paper plates are everywhere people are defeating these cameras. Why are politicians pushing cameras so bad is it because maybe they get cushy jobs afterwards in these companies when they leave office?",,2,,
Eric Martz,@ericmartznyc,2022-05-10T19:16:12.000Z,Cash grab? A person speeding in a car is life threatening to everyone. Speed cameras reports people who do that automatically and with high accuracy.,,,,3
a monk parakeet,@Qwerperty,2022-05-10T19:16:12.000Z,"2
9",,,2,9
Snail He/Him,@extrapostage,2022-05-10T19:16:12.000Z,What can we do tomorrow? Can we have Barnes Dance at every interaction? Can the public start installing our own pinch points and start towing cars ourselves.,,,,3
Revel,@_GoRevel,2022-05-10T19:16:12.000Z,"NYC DOT
@NYC_DOT
 · 23h
""It's now time for Albany to help us continue to keep New Yorkers safe by expanding and enhancing camera enforcement. Let's get it done. New Yorkers' lives depend on it."" -Commissioner Rodriguez",,,1,5
JAY BONES,@GymmyHoffa,2022-05-10T19:16:12.000Z,"Oh yeah show us the data on that, and not the revenue data.",,,,
New York City 311,@nyc311,2022-05-10T19:16:12.000Z,"@NYC_DOT
 Thanks for looping us in! Hello 
@shac72419569
, you can use the link provided by DOT to file a report online, or you may send us a DM for help with filing. Thank you.",,,,1
Margarita,@moinqueens,2022-05-10T19:16:12.000Z,"No, these cameras are nothing but an unofficial tax.  Cameras everywhere but cops are nowhere. Vision Zero has been nothing but a cash grab.  Eliminating traffic lanes and lowering the speed limits have only pushed frustrated drivers onto residential streets to make up time.",,4,,3
SoHo Broadway,@sohobroadway,2022-05-10T19:16:12.000Z,"Thank you 
@NoHo
 - Doing our part!",,,,
Cai,@Cai_Chap,2022-05-10T19:16:12.000Z,No.,,,,
Upwork,@Upwork,2022-05-10T19:16:12.000Z,"0:12
upwork.com
What makes them a great mom also makes them a great hire.",,4,12,55
Cory,@corythosaurus,2022-05-10T19:16:12.000Z,,,,4,5
NYPD 70th Precinct,@NYPD70Pct,2022-05-10T19:16:12.000Z,,,,1,18
Steven Sutherland,@Shinedown_7Fold,2022-05-10T19:16:12.000Z,,,,,
FreeParkNYC,@freeparknyc,2022-05-10T18:08:51.000Z,"qchron.com
Local control will help prevent deadly crashes
On a late Saturday evening at about 11:30 p.m. in October, 2020, Earl Hall, a 48-year old resident of Jamaica, Queens, tried to cross Linden Boulevard near Bedell Street, a",,,,1
helen gigante,@hgigante,2022-05-10T18:08:51.000Z,Absolutely Not…DOT is part of the TA cult,,,,
helen gigante,@hgigante,2022-05-10T18:08:51.000Z,All are in or beholden to the TA cult…accept and adapt or detach and leave? Watch population #s Income of those left behind Tax receipts and Budget status.. in balance surplus or deficit..over the next 3-5 yrs,,,,
Horatio Bateman,@mny_mrk,2022-05-10T18:08:51.000Z,"I disagree because giving nyc control will mean the cameras remain active at , for example, 2am. What child is in school at that time?! Let’s call it what it is: another revenue generating scheme.",,,,2
NYC Mayor's Office,@NYCMayorsOffice,2022-05-10T18:08:51.000Z,"qchron.com
Local control will help prevent deadly crashes
On a late Saturday evening at about 11:30 p.m. in October, 2020, Earl Hall, a 48-year old resident of Jamaica, Queens, tried to cross Linden Boulevard near Bedell Street, a",,10,5,21
NeverForget_WhoProlongedThePandemic,@NeverForget2007,2022-05-10T18:08:51.000Z,"Why call on Albany? Just ask permission from 
@lyft
 since they own all the politicians in NYC Amirite 
@NYCCouncil
 @NYCMayor",,,1,2
Pedro 我是纽约人,@_pjrt,2022-05-10T18:08:51.000Z,I don't understand why ppl in Albany should be controlling our streets. NYC needs to be able to control its own streets.,,,,5
NYC DOT,@NYC_DOT,2022-05-10T18:08:51.000Z,"ALT
ALT
ALT
NYC Mayor's Office",,6,6,29
NBC Entertainment,@nbc,2022-05-10T18:08:51.000Z,"mms.com
Learn More",,7,11,98
streeter,@_streeter,2022-05-10T18:08:51.000Z,"Since they already know who speeds, they could have sent mailers to those individuals directly instead at a fraction of the cost.",,,,4
Joanna Oltman Smith,@jooltman,2022-05-10T18:08:51.000Z,Council Member Shahana Hanif and Brooklyn Community Board 6,,1,,
TheTaoOfOat,@TheTaoOfOat,2022-05-10T18:08:51.000Z,Hello from 2022!  I was curious how the green meridian along Park Avenue came to be.  Came upon your set of photos.  Great history behind it.,,1,,
JQ LLC: The Impunity City,@ImpunityCity,2022-05-10T18:08:51.000Z,Ask Danny Harris. He practically owns these officials,,,,1
NYC DOT,@NYC_DOT,2022-05-10T18:08:51.000Z,"Looping in 
@nyc311
 to assist with filing a pothole on a bridge or you may file online: https://portal.311.nyc.gov/article/?kanumber=KA-01079…",,1,,
Balenciaga,@BALENCIAGA,2022-05-10T18:08:51.000Z,"balenciaga.com
Balenciaga",,7,15,8
lifebloggingwithdamien,@DamienBlogger1,2022-05-10T17:08:52.000Z,,,,,
helen gigante,@hgigante,2022-05-10T17:08:52.000Z,,,,,1
Choresh Wald,@Choresh2,2022-05-10T17:08:52.000Z,Once upon a time there were less people and less cars,,,,
Jessica González-Rojas,@votejgr,2022-05-10T17:08:52.000Z,"qchron.com
Local control will help prevent deadly crashes
On a late Saturday evening at about 11:30 p.m. in October, 2020, Earl Hall, a 48-year old resident of Jamaica, Queens, tried to cross Linden Boulevard near Bedell Street, a",,6,15,35
helen gigante,@hgigante,2022-05-10T17:08:52.000Z,Residential block Never mind everyone else ie public coming into the area looking for street parking before resorting to a garage Once upon a time  all five boro’s & suburbs work play dine entertain in the  city Lack of street parking stay out of it as much as u can Bad policy,,1,,
Choresh Wald,@Choresh2,2022-05-10T17:08:52.000Z,"Naaaah, it’s still there. Moving an apartment takes hours.",,,,
Jolyse Race,@JolyseRace,2022-05-10T17:08:52.000Z,"1
4",,,1,4
NBC Entertainment,@nbc,2022-05-10T17:08:52.000Z,"mms.com
Learn More",,7,11,98
NeverForget_WhoProlongedThePandemic,@NeverForget2007,2022-05-10T17:08:52.000Z,"100% of this is due to 
@NYC_DOT
 and Trans Alt push for bike lanes in places they NEVER should be. These people are a cult, they are killing people with their cultish behavior and NY’ers should start voting OUT anyone that wants more bike lanes. We need less if we want less deaths",,,,
@megshashin,@megshashin,2022-05-10T17:08:52.000Z,Yea we trying g to be Cameras ,,,,
JCDinSI121976,@JDSI121976,2022-05-10T17:08:52.000Z,Blame people who walk anywhere with their heads down in their phones. Blame bike riders who think they can do whatever they want. Place blame where it belongs not in a narrative,,,2,1
New York Daily News,@NYDailyNews,2022-05-10T17:08:52.000Z,"nydailynews.com
NYC sees most traffic deaths to start year in nearly a decade, DOT commish puts blame on Albany
At least 79 people have been killed in car crashes across the five boroughs so far this year — the most at this point in a calendar year since 2013.",,3,6,3
Pronouns in bio,@LaBaronneuh,2022-05-10T17:08:52.000Z,"That’s right, the sidewalk should be extended so that diner can enjoy their meal without standing water",,,,
Cosmopolitan,@Cosmopolitan,2022-05-10T17:08:52.000Z,"Brita USA
0:15
Video will play after ad
5",,3,2,26
Choresh Wald,@Choresh2,2022-05-10T15:58:12.000Z,,,,,1
Balenciaga,@BALENCIAGA,2022-05-10T15:58:12.000Z,"balenciaga.com
Balenciaga",,6,21,24
inwoodKTH (keeping them honest),@InwoodKth,2022-05-10T15:58:12.000Z,Inwood is trash because of you.  Plaza and open streets.  Disaster,,,,
liqueo,@liqueo16,2022-05-10T15:58:12.000Z,tu lo que estas creando mas tapones en las calles y jodiendo las vias,,,,1
Jeremy Rosen,@jeremyexplains,2022-05-10T15:58:12.000Z,Yes.,,,,3
NYC DOT,@NYC_DOT,2022-05-10T15:58:12.000Z,"We will forward your concern to the appropriate unit. If you would like follow up, please visit: http://bit.ly/contactDOTCommissioner…",,,,
El Diario De Los Deliveryboys En La Gran Manzana,@ElDeliveryboys,2022-05-10T15:58:12.000Z,"We need the aswer now 
@nycDOT",,,,4
Frank,@Fbertz88,2022-05-10T15:58:12.000Z,Absolutely not.,,,,1
NYC DOT,@NYC_DOT,2022-05-10T15:58:12.000Z,,,26,37,137
bparkave,@bparkave,2022-05-10T15:58:12.000Z,,,,,
New York Daily News,@NYDailyNews,2022-05-10T15:58:12.000Z,"nydailynews.com
NYC sees most traffic deaths to start year in nearly a decade, DOT commish puts blame on Albany
At least 79 people have been killed in car crashes across the five boroughs so far this year — the most at this point in a calendar year since 2013.",,1,1,4
helen gigante,@hgigante,2022-05-10T15:58:12.000Z,"Understand the different functions between local & express..don’t like it, move elsewhere. We have a phenomenal transit system …since 2013 & TA however we have chronic entitled complainers who more often than not didn’t grow yup here & didn’t use bus system as a teen",,,,
Thrillist,@Thrillist,2022-05-10T15:58:12.000Z,"Brita USA
0:15
Video will play after ad
5",,,,11
Paul Berk,@Cat_Victim,2022-05-10T15:58:12.000Z,"@angel_sentbyGod
 OK, up yours. For pornographic imaginations, maybe look in the mirror. Even when it's not plugged in, my blender has more sense of humor than you do. Blocking you.",,,,
Wisal Rehena,@EndWhiteHate,2022-05-10T15:58:12.000Z,,,,,
Anthony Cepeda,@Anthony10566453,2022-05-10T14:47:27.000Z,,,,,
Joanna Oltman Smith,@jooltman,2022-05-10T14:47:27.000Z,Perk: Pretty pansies!,,,,1
joseph,@jtedeschi1968,2022-05-10T14:47:27.000Z,,,,,3
